"Time taken for tests","Failed requests","Requests per second","Time per request"
652.270,157,1.53,9784.046
655.491,930,1.53,9832.372
654.812,943,1.53,9822.180
659.908,935,1.52,9898.614
655.027,952,1.53,9825.410
653.233,961,1.53,9798.498
648.383,131,1.54,9725.740
661.291,920,1.51,9919.370
655.492,958,1.53,9832.378
660.152,942,1.51,9902.283
