"Time taken for tests","Failed requests","Requests per second","Time per request"
415.187,937,2.41,6227.806
414.864,279,2.41,6222.965
417.239,206,2.40,6258.590
418.999,335,2.39,6284.978
418.233,93,2.39,6273.488
414.553,309,2.41,6218.300
417.982,110,2.39,6269.731
412.749,994,2.42,6191.240
413.709,354,2.42,6205.642
415.649,419,2.41,6234.730
