"Availability","Elapsed time","Response time","Transaction rate","Failed transactions","Longest transaction"
100.00,59.71,6.36,2.19,0,10.90
100.00,59.11,6.41,2.22,0,9.54
100.00,59.96,6.43,2.23,0,8.91
100.00,59.98,6.54,2.17,0,10.36
100.00,59.79,6.52,2.17,0,10.22
100.00,59.72,6.35,2.19,0,11.53
100.00,59.29,6.43,2.19,0,10.43
100.00,59.68,6.50,2.18,0,9.71
100.00,60.00,6.21,2.18,0,12.01
100.00,59.20,6.47,2.18,0,10.03
