"Transactions per second", "Average response time", "Maximum response time"
1.34,9.750,10.218
1.33,9.858,10.262
1.34,9.744,10.167
1.33,9.816,10.376
1.35,9.661,10.381
1.34,9.715,10.279
1.35,9.729,10.347
1.35,9.672,10.393
1.34,9.779,10.309
1.34,9.755,10.100
