"Transactions per second", "Average response time", "Maximum response time"
2.29,6.180,7.694
2.26,6.137,7.186
2.25,6.200,7.463
2.26,6.232,8.299
2.27,6.216,7.728
2.27,6.194,8.744
2.26,6.203,7.611
2.29,6.205,7.907
2.28,6.139,8.834
2.28,6.250,8.073
