"Availability","Elapsed time","Response time","Transaction rate","Failed transactions","Longest transaction"
100.00,59.88,9.76,1.25,0,10.20
100.00,59.81,9.92,1.40,0,10.77
100.00,59.23,9.68,1.52,0,10.20
100.00,59.95,9.67,1.50,0,10.32
100.00,59.76,9.94,1.41,0,11.21
100.00,59.60,10.15,1.26,0,11.49
100.00,59.76,9.75,1.51,0,10.26
100.00,59.42,9.64,1.51,0,10.14
100.00,59.30,9.65,1.52,0,10.01
100.00,59.17,9.78,1.49,0,10.51
